"GEOID10","CORN_YIELD"
19015,208.4
19049,204
19075,198.5
19079,209
19083,208
19099,214.7
19127,211.3
19153,199.8
19157,213.2
19169,211.9
19171,208.4
19187,200.8
19011,199.9
19031,215.3
19045,213.8
19095,210.6
19097,202.1
19103,189
19105,201.3
19113,200.3
19139,203
19163,216
19023,207.3
19033,193.6
19067,196.3
19069,204.8
19081,200.3
19091,206.1
19109,204.7
19131,199.1
19189,197.9
19195,191.5
19197,200.2
19005,205.1
19013,206.4
19017,210.6
19019,205.6
19037,206.6
19043,210.3
19055,202.3
19061,211.5
19065,202.5
19089,202.2
19191,210.7
19021,201.1
19035,219.7
19041,202
19059,188
19063,198.5
19119,206.9
19141,210.7
19143,203.7
19147,196
19149,209.2
19151,206.8
19167,212.2
19007,186.3
19039,163.9
19053,181.1
19117,174.6
19121,185.5
19125,198
19135,180
19159,179.5
19175,183
19181,184.6
19185,174.5
19051,188.7
19057,210
19087,199
19101,197
19107,208.6
19111,194.6
19115,200.2
19123,204.7
19177,189
19179,196.9
19183,208.2
19001,190.3
19003,187.4
19029,195.9
19071,180.8
19129,188.4
19137,185.5
19145,185.8
19155,210.4
19173,159.9
19009,206.1
19025,207.3
19027,203.1
19047,213.5
19073,205.5
19077,198.2
19085,204.6
19093,216
19133,184.5
19161,214.3
19165,215.3
19193,203.7
20009,149.8
20105,111.1
20115,124.3
20113,142.1
20159,128.3
20165,128.8
20003,121.7
20031,116.8
20045,132.6
20059,138
20061,146.2
20111,113.4
20121,144.6
20127,108.9
20139,117
20177,139
20197,118.1
20029,158.4
20123,137.4
20141,127.8
20143,139.8
20147,129.3
20157,156.5
20163,101.8
20201,124.7
20005,150.6
20013,163.6
20043,186.6
20085,138
20087,147.3
20103,130.1
20117,131.5
20131,144.9
20149,146.4
20023,154.7
20039,107.4
20153,114.5
20179,136.9
20181,131.4
20077,72.4
20079,127.1
20095,128.7
20145,159.2
20151,154.2
20173,122.3
20185,138.5
20191,95.4
20011,126.9
20015,121.5
20019,100.3
20021,144.6
20035,109.1
20125,107.8
20133,130.6
20205,138.2
20067,189.4
20069,185.4
20093,163
20129,157.2
20175,194.2
20187,160.7
20189,175.4
20063,111.4
20135,101.1
20199,131
20203,152.6
29015,166.8
29051,152
29053,173.8
29105,158.6
29125,141.6
29131,130.6
29141,155.3
29151,184.2
29159,166.5
29167,163
29195,185.9
29073,126.3
29099,128.5
29113,155.8
29183,169
29187,142.1
29189,154.3
29186,149.4
29219,154
29001,170.1
29033,161.4
29115,160.2
29117,167.5
29175,176.9
29007,171.8
29103,166.4
29111,163.6
29127,188.4
29137,164
29163,163
29173,174.1
29205,175
29003,152
29005,169.3
29021,158.6
29025,179.6
29047,165
29049,156.7
29061,161
29087,170.7
29147,167
29165,160.1
29227,159.3
29123,105
29225,157.4
29031,128.4
29069,153.8
29133,143.6
29143,168.1
29155,159.7
29207,147.1
29011,155.7
29043,120.9
29057,136.7
29077,144.7
29109,121.6
29145,144.8
29037,159.8
29083,148.4
29095,161.8
29101,160.3
29107,186.7
29217,147.5
