"address","price","beds","baths","house_area","lon","lat"
"5621 Highland Ave, Kansas City, MO",65,3,2,1404,-94.565708,39.024718
"4129 Harrison St, Kansas City, MO",220,3,3,1977,-94.573455,39.052035
"1540 E 50th Ter, Kansas City, MO",119.9,4,2,1472,-94.56673,39.035198
"4520 Kenwood Ave, Kansas City, MO",289.9,8,5,0,-94.578672,39.045424
"4308 Flora Ave, Kansas City, MO",59.9,3,1,1115,-94.566832,39.048569
"5413 Virginia Ave, Kansas City, MO",165,4,3,1792,-94.570138,39.028658
"3900 Charlotte St, Kansas City, MO",270,5,3,2492,-94.575639,39.05621
"5808 Woodland Ave, Kansas City, MO",17,4,2,0,-94.564915,39.0213
"4204 Charlotte St, Kansas City, MO",145,3,1,987,-94.576022,39.050759
"4132 Charlotte St, Kansas City, MO",189,4,2,1656,-94.575939,39.052043
"6114 Blue Hills Rd, Kansas City, MO",109.9,4,2,1157,-94.568616,39.01606
"4433 Tracy Ave, Kansas City, MO",94.9,2,2,0,-94.570047,39.046512
"4041 Virginia Ave, Kansas City, MO",120,3,2,1431,-94.568688,39.053459
"5825 Woodland Ave, Kansas City, MO",42.5,3,2,0,-94.56478,39.020997
"4223 Tracy Ave, Kansas City, MO",90,3,2,1286,-94.569856,39.050213
"6003 Charlotte St, Kansas City, MO",259,4,2,1750,-94.577696,39.018389
"4935 Lydia Ave, Kansas City, MO",145,3,2,1600,-94.56846,39.037282
"4428 Harrison St, Kansas City, MO",183.5,4,2,0,-94.57396,39.046
"4022 Charlotte St, Kansas City, MO",235.5,4,2,0,-94.575828,39.054034
"5723 Rockhill Rd, Kansas City, MO",257.4,4,2,0,-94.576268,39.023241
"4144 Flora Ave, Kansas City, MO",62,3,1,792,-94.566659,39.051495
"5401 Tracy Ave, Kansas City, MO",335,3,3,1565,-94.571376,39.028915
"6201 Forest Ave, Kansas City, MO",145,3,2,1036,-94.57334,39.014917
"1217 E 45th St, Kansas City, MO",275,3,3,1529,-94.571338,39.045161
"5223 Paseo Blvd, Kansas City, MO",70,3,2,0,-94.567126,39.032014
